
%BEGIN rPTSA config
restriction := 200
q0 := qBack
m0 := m0
gamma0 := root
%END rPTSA config
    
%BEGIN rPTSA rules
(qBack, m0, root, 1, (q, m1, up g))
(qBack, m1, root, 1, (q, m2, up g))
(qBack, m2, root, 1, (q, m3, up g))
(qBack, m3, root, 1, (q, m4, up g))
(qBack, m4, root, 1, (q, m5, up g))
(qBack, m5, root, 1, (q, m6, up g))
(qBack, m6, root, 1, (q, m7, up g))
(qBack, m7, root, 1, (q, m8, up g))
(qBack, m8, root, 1, (q, m9, up g))
(qBack, m9, root, 1, (q, m10, up g))
(qBack, m10, root, 1, (q, m11, up g))
(qBack, m11, root, 1, (q, m12, up g))
(qBack, m12, root, 1, (q, m13, up g))
(qBack, m13, root, 1, (q, m14, up g))
(qBack, m14, root, 1, (q, m15, up g))
(qBack, m15, root, 1, (q, m16, up g))
(qBack, m16, root, 1, (q, m17, up g))
(qBack, m17, root, 1, (q, m18, up g))
(qBack, m18, root, 1, (q, m19, up g))
(qBack, m19, root, 1, (q, m20, up g))
(qBack, m20, root, 1, (q, m21, up g))
(qBack, m21, root, 1, (q, m22, up g))
(qBack, m22, root, 1, (q, m23, up g))
(qBack, m23, root, 1, (q, m24, up g))
(qBack, m24, root, 1, (q, m25, up g))
(qBack, m25, root, 1, (q, m26, up g))
(qBack, m26, root, 1, (q, m27, up g))
(qBack, m27, root, 1, (q, m28, up g))
(qBack, m28, root, 1, (q, m29, up g))
(qBack, m29, root, 1, (q, m30, up g))
(qBack, m30, root, 1, (q, m31, up g))
(qBack, m31, root, 1, (q, m32, up g))
(qBack, m32, root, 1, (q, m33, up g))
(qBack, m33, root, 1, (q, m34, up g))
(qBack, m34, root, 1, (q, m35, up g))
(qBack, m35, root, 1, (q, m36, up g))
(qBack, m36, root, 1, (q, m37, up g))
(qBack, m37, root, 1, (q, m38, up g))
(qBack, m38, root, 1, (q, m39, up g))
(qBack, m39, root, 1, (q, m40, up g))
(qBack, m40, root, 1, (q, m41, up g))
(qBack, m41, root, 1, (q, m42, up g))
(qBack, m42, root, 1, (q, m43, up g))
(qBack, m43, root, 1, (q, m44, up g))
(qBack, m44, root, 1, (q, m45, up g))
(qBack, m45, root, 1, (q, m46, up g))
(qBack, m46, root, 1, (q, m47, up g))
(qBack, m47, root, 1, (q, m48, up g))
(qBack, m48, root, 1, (q, m49, up g))
(qBack, m49, root, 1, (q, m50, up g))
(qBack, m50, root, 1, (q, m51, up g))
(qBack, m51, root, 1, (q, m52, up g))
(qBack, m52, root, 1, (q, m53, up g))
(qBack, m53, root, 1, (q, m54, up g))
(qBack, m54, root, 1, (q, m55, up g))
(qBack, m55, root, 1, (q, m56, up g))
(qBack, m56, root, 1, (q, m57, up g))
(qBack, m57, root, 1, (q, m58, up g))
(qBack, m58, root, 1, (q, m59, up g))
(qBack, m59, root, 1, (q, m60, up g))
(qBack, m60, root, 1, (q, m61, up g))
(qBack, m61, root, 1, (q, m62, up g))
(qBack, m62, root, 1, (q, m63, up g))
(qBack, m63, root, 1, (q, m64, up g))
(qBack, m64, root, 1, (q, m65, up g))
(qBack, m65, root, 1, (q, m66, up g))
(qBack, m66, root, 1, (q, m67, up g))
(qBack, m67, root, 1, (q, m68, up g))
(qBack, m68, root, 1, (q, m69, up g))
(qBack, m69, root, 1, (q, m70, up g))
(qBack, m70, root, 1, (q, m71, up g))
(qBack, m71, root, 1, (q, m72, up g))
(qBack, m72, root, 1, (q, m73, up g))
(qBack, m73, root, 1, (q, m74, up g))
(qBack, m74, root, 1, (q, m75, up g))
(qBack, m75, root, 1, (q, m76, up g))
(qBack, m76, root, 1, (q, m77, up g))
(qBack, m77, root, 1, (q, m78, up g))
(qBack, m78, root, 1, (q, m79, up g))
(qBack, m79, root, 1, (q, m80, up g))
(qBack, m80, root, 1, (q, m81, up g))
(qBack, m81, root, 1, (q, m82, up g))
(qBack, m82, root, 1, (q, m83, up g))
(qBack, m83, root, 1, (q, m84, up g))
(qBack, m84, root, 1, (q, m85, up g))
(qBack, m85, root, 1, (q, m86, up g))
(qBack, m86, root, 1, (q, m87, up g))
(qBack, m87, root, 1, (q, m88, up g))
